Thread,Schedule,Time
1,static,303.650605
2,static,178.367971
4,static,152.787372
8,static,140.522021
12,static,126.113264
16,static,115.968738
20,static,110.864172
24,static,110.074492
28,static,110.353846
32,static,108.964928
64,static,117.503317
128,static,108.827477
256,static,112.211519
512,static,113.233673
1024,static,121.143753
1,dynamic,306.341513
2,dynamic,178.182457
4,dynamic,142.641920
8,dynamic,120.682148
12,dynamic,106.848002
16,dynamic,106.360270
32,dynamic,115.451209
64,dynamic,106.814101
128,dynamic,110.697558
256,dynamic,110.051105
512,dynamic,113.171345
1024,dynamic,120.731271
1,guided,296.101540
2,guided,170.517855
4,guided,154.987218
8,guided,125.675815
12,guided,116.675337
16,guided,110.778853
32,guided,109.067248
64,guided,117.912949
128,guided,108.204931
256,guided,112.092855
512,guided,111.802101
1024,guided,118.923669
